0.9017467248908297
class4,p
Ia,0.7963576892497062
nonevent,0.20105289317791578
II,0.9877325743458348
Ib,0.9763829454279688
nonevent,0.14829564714429117
II,0.9841558599870349
nonevent,0.015409162615262316
nonevent,0.016327473517883113
II,0.8380548233580944
nonevent,0.1403709582379741
nonevent,0.13767671673292659
II,0.763993310645702
nonevent,0.08760305263360112
Ib,0.7283143957917027
Ib,0.8667075439421202
nonevent,0.05454564213079339
II,0.8909898658981926
nonevent,0.3206420976664232
II,0.988989880069289
nonevent,0.03764157166107611
nonevent,0.04261794125670044
nonevent,0.017302084182634264
II,0.5826536321051954
nonevent,0.1289294790705643
nonevent,0.08435414308322792
II,0.9476593989295675
nonevent,0.10465443703181722
II,0.6184750199298903
nonevent,0.32991182532592483
nonevent,0.027854266976992396
nonevent,0.03681653063149629
Ib,0.9457651306779254
nonevent,0.19301942381766016
II,0.5543979993969265
II,0.9975334803825953
II,0.9202275833541337
II,0.9913136690072357
nonevent,0.14705050593995223
Ib,0.8049377657203178
nonevent,0.05092295573256314
nonevent,0.043045222188803994
II,0.9462520532474412
Ib,0.8058124381505984
nonevent,0.06716634288472301
Ib,0.9512362876552998
nonevent,0.020844643829003726
II,0.8716455107311618
II,0.6786937222911595
II,0.8701863804371843
nonevent,0.3867696348792321
Ib,0.9613765081721303
nonevent,0.06366807955133716
nonevent,0.03942981122662866
Ib,0.90291252278647
nonevent,0.045758258294810825
nonevent,0.12555750091496826
Ib,0.9464847086934378
nonevent,0.09190133366199967
II,0.9969309706017493
nonevent,0.009023033033239947
nonevent,0.009405455030316156
Ib,0.7565556381623614
nonevent,0.10224017320070047
Ib,0.9005782993076195
II,0.9700703044211387
nonevent,0.012132801089128177
nonevent,0.08615930928069808
II,0.993401619408134
II,0.9341729841325144
II,0.9727443800925385
II,0.9719077027781331
Ia,0.9980317705473837
nonevent,0.17041048118148838
nonevent,0.016985801169656072
nonevent,0.027937828116794336
II,0.8556050862227088
nonevent,0.10278704261057552
II,0.9073674265629726
nonevent,0.017587652367249164
nonevent,0.4893694916303582
II,0.9873709696021689
II,0.5020771958644648
nonevent,0.037467348925785605
nonevent,0.01348664829614917
Ib,0.9195799712406282
nonevent,0.15172581799285087
nonevent,0.0021840121019538563
nonevent,0.030070160764287375
nonevent,0.10255525476209096
II,0.8674759919999052
nonevent,0.18430078549597914
nonevent,0.05825010386112027
nonevent,0.014996624450521806
Ib,0.9730792908390632
Ib,0.9504786677350854
nonevent,0.13817645853325172
nonevent,0.0235412364320804
Ib,0.7989874059259037
nonevent,0.1269881447501771
